
(temperature external 9degrees internal temperature 21 degrees.)

Current angle: 0
Accelerometer:  | Z = 15828
Accelerometer:  | Z = 15920
Accelerometer:  | Z = 15984
Accelerometer:  | Z = 15896
Accelerometer:  | Z = 15968
Accelerometer:  | Z = 15884
Accelerometer:  | Z = 15908
Accelerometer:  | Z = 16004
Accelerometer:  | Z = 15980
Accelerometer:  | Z = 16004
Accelerometer:  | Z = 15860
Accelerometer:  | Z = 15980
Accelerometer:  | Z = 16012
Accelerometer:  | Z = 15896
Accelerometer:  | Z = 15952
Accelerometer:  | Z = 15932
Accelerometer:  | Z = 15944
Accelerometer:  | Z = 16000
Accelerometer:  | Z = 15980
Accelerometer:  | Z = 15980
|Average: 15945.60

Current angle: 36
Accelerometer:  | Z = 12164
Accelerometer:  | Z = 12296
Accelerometer:  | Z = 12276
Accelerometer:  | Z = 12320
Accelerometer:  | Z = 12136
Accelerometer:  | Z = 12212
Accelerometer:  | Z = 12308
Accelerometer:  | Z = 12292
Accelerometer:  | Z = 12276
Accelerometer:  | Z = 12368
Accelerometer:  | Z = 12256
Accelerometer:  | Z = 12396
Accelerometer:  | Z = 12280
Accelerometer:  | Z = 12248
Accelerometer:  | Z = 12168
Accelerometer:  | Z = 12260
Accelerometer:  | Z = 12128
Accelerometer:  | Z = 12216
Accelerometer:  | Z = 12268
Accelerometer:  | Z = 12224
|Average: 12254.60

Current angle: 72
Accelerometer:  | Z = 5084
Accelerometer:  | Z = 4956
Accelerometer:  | Z = 5000
Accelerometer:  | Z = 4924
Accelerometer:  | Z = 4936
Accelerometer:  | Z = 4976
Accelerometer:  | Z = 5124
Accelerometer:  | Z = 4968
Accelerometer:  | Z = 5004
Accelerometer:  | Z = 5068
Accelerometer:  | Z = 4976
Accelerometer:  | Z = 5028
Accelerometer:  | Z = 4984
Accelerometer:  | Z = 5100
Accelerometer:  | Z = 4984
Accelerometer:  | Z = 4920
Accelerometer:  | Z = 5100
Accelerometer:  | Z = 4948
Accelerometer:  | Z = 4984
Accelerometer:  | Z = 5028
|Average: 5004.60

Current angle: 108
Accelerometer:  | Z = -6564
Accelerometer:  | Z = -6564
Accelerometer:  | Z = -6512
Accelerometer:  | Z = -6652
Accelerometer:  | Z = -6632
Accelerometer:  | Z = -6452
Accelerometer:  | Z = -6624
Accelerometer:  | Z = -6520
Accelerometer:  | Z = -6476
Accelerometer:  | Z = -6500
Accelerometer:  | Z = -6524
Accelerometer:  | Z = -6684
Accelerometer:  | Z = -6544
Accelerometer:  | Z = -6588
Accelerometer:  | Z = -6580
Accelerometer:  | Z = -6628
Accelerometer:  | Z = -6592
Accelerometer:  | Z = -6540
Accelerometer:  | Z = -6644
Accelerometer:  | Z = -6488
|Average: -6565.40

Current angle: 144
Accelerometer:  | Z = -14832
Accelerometer:  | Z = -14804
Accelerometer:  | Z = -14756
Accelerometer:  | Z = -14756
Accelerometer:  | Z = -14868
Accelerometer:  | Z = -14708
Accelerometer:  | Z = -14828
Accelerometer:  | Z = -14884
Accelerometer:  | Z = -14772
Accelerometer:  | Z = -14808
Accelerometer:  | Z = -14784
Accelerometer:  | Z = -14852
Accelerometer:  | Z = -14724
Accelerometer:  | Z = -14880
Accelerometer:  | Z = -14772
Accelerometer:  | Z = -14816
Accelerometer:  | Z = -14872
Accelerometer:  | Z = -14820
